column,row,runtime_x,runtime_z,walkable,role
13,6,16,16,true,floor
14,6,17,16,true,floor
15,6,18,16,true,floor
16,6,19,16,true,floor
17,6,20,16,true,floor
18,6,21,16,true,floor
19,6,22,16,true,floor
20,6,23,16,true,floor
21,6,24,16,true,floor
22,6,25,16,true,floor
23,6,26,16,true,floor
24,6,27,16,true,floor
1,7,4,17,true,floor
2,7,5,17,true,floor
3,7,6,17,true,floor
4,7,7,17,true,floor
5,7,8,17,true,floor
6,7,9,17,true,floor
7,7,10,17,true,floor
8,7,11,17,true,floor
9,7,12,17,true,floor
10,7,13,17,true,floor
11,7,14,17,true,floor
12,7,15,17,true,floor
13,7,16,17,true,floor
14,7,17,17,true,floor
15,7,18,17,true,floor
16,7,19,17,true,floor
17,7,20,17,true,floor
18,7,21,17,true,floor
19,7,22,17,true,floor
20,7,23,17,true,floor
21,7,24,17,true,floor
22,7,25,17,true,floor
23,7,26,17,true,floor
24,7,27,17,true,floor
1,8,4,18,true,floor
2,8,5,18,true,floor
3,8,6,18,true,floor
4,8,7,18,true,floor
5,8,8,18,true,floor
6,8,9,18,true,floor
7,8,10,18,true,floor
8,8,11,18,true,floor
9,8,12,18,true,floor
10,8,13,18,true,floor
11,8,14,18,true,floor
12,8,15,18,true,floor
13,8,16,18,true,floor
14,8,17,18,true,floor
15,8,18,18,true,floor
16,8,19,18,true,floor
17,8,20,18,true,floor
18,8,21,18,true,floor
19,8,22,18,true,floor
20,8,23,18,true,floor
21,8,24,18,true,floor
22,8,25,18,true,floor
23,8,26,18,true,floor
24,8,27,18,true,floor
1,9,4,19,true,floor
2,9,5,19,true,floor
3,9,6,19,true,floor
4,9,7,19,true,floor
5,9,8,19,true,floor
6,9,9,19,true,floor
7,9,10,19,true,floor
8,9,11,19,true,floor
9,9,12,19,true,floor
10,9,13,19,true,floor
11,9,14,19,true,floor
12,9,15,19,true,floor
13,9,16,19,true,floor
14,9,17,19,true,floor
15,9,18,19,true,floor
16,9,19,19,true,floor
17,9,20,19,true,floor
18,9,21,19,true,floor
19,9,22,19,true,floor
20,9,23,19,true,floor
21,9,24,19,true,floor
22,9,25,19,true,floor
23,9,26,19,true,floor
24,9,27,19,true,floor
1,10,4,20,true,floor
2,10,5,20,true,floor
3,10,6,20,true,floor
4,10,7,20,true,floor
5,10,8,20,true,floor
6,10,9,20,true,floor
7,10,10,20,true,floor
8,10,11,20,true,floor
9,10,12,20,true,floor
10,10,13,20,true,floor
11,10,14,20,true,floor
12,10,15,20,true,floor
13,10,16,20,true,floor
14,10,17,20,true,floor
15,10,18,20,true,floor
16,10,19,20,true,floor
17,10,20,20,true,floor
18,10,21,20,true,floor
19,10,22,20,true,floor
20,10,23,20,true,floor
21,10,24,20,true,bottom_right_door_approach
22,10,25,20,true,floor
23,10,26,20,true,floor
24,10,27,20,true,floor
